Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
acetylcysteine,Acetadote,10/19/01,For the intravenous treatment of moderate to severe acetaminophen overdose,Designated/Approved,,,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur",1/23/04,1/23/11,,"Cumberland Pharmaceuticals, Inc.",209 10th Street South,Suite 332,Nashville,Tennessee,37203 ',United States,148401,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur"
acetylcysteine effervescent tablets for oral solution,Cetylev,2/24/15,Preventing hepatic injury from acetaminophin overdose,Designated/Approved,,,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion,1/29/16,,,"Arbor Pharmaceuticals, Inc.",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,30328 ',United States,401713,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion
acoramidis,Attruby,10/2/18,Treatment of transthyretin amyloidosis,Designated/Approved,,,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,11/22/24,11/22/31,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,"BridgeBio Pharma, Inc.","1800 Owens St., Suite C-1200",,San Francisco,California,94158 ',United States,593117,For the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization
acyclovir,Avaclyr,12/13/10,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2,Designated/Approved,,,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,3/29/19,3/29/26,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,Fera Pharmaceuticals,134 Birch Hill Road,,Locust Valley,New York,11560 ',United States,325010,AVACLYR is a sterile topical antiviral For acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.
adagrasib,Krazati,6/7/21,Treatment for KRAS G12C Positive NSCLC,Designated/Approved,,,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",12/12/22,12/12/29,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",Bristol-Myers Squibb Company,3401 Princeton Pike,,Lawrenceville,New Jersey,08648 ',United States,756320,"For adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy"
adalimumab,HUMIRA,10/19/06,Treatment of pediatric Crohn's disease,Designated/Approved,,,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.",9/23/14,9/23/21,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 through 16 years of age with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.","AbbVie, Inc.",1 N. Waukegan Road,"Bldg AP30, Dept. PA77",North Chicago,Illinois,60064 ',United States,230306,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate."
adalimumab,Humira,3/21/05,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older.,9/30/14,9/30/21,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064 ',United States,200905,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older.
adalimumab,Humira,3/21/05,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older.,2/21/08,2/21/15,,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064 ',United States,200905,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older.
adalimumab,HUMIRA,5/13/15,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,,Treatment of moderate to severe hidradenitis suppurativa in patients 12 years of age and older.,10/16/18,10/16/25,Treatment of moderate to severe hidradenitis suppurativa (HS) in adolescent patients 12 years of age and older.,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064 ',United States,446414,For moderate to severe hidradenitis suppurativa in patients 12 years of age and older.
adalimumab,Humira,5/13/14,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,,"Treatment of non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older",9/28/18,9/28/25,"Treatment of non-infectious intermediate, posterior, and panuveitis in pediatric patients 2 years of age and older","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064 ',United States,318510,"For non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older"
adalimumab,Humira,5/13/14,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients",6/30/16,6/30/23,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064 ',United States,318510,"For non-infectious intermediate, posterior and panuveitis in adult patients"
adalimumab,Humira,5/11/11,Treatment of pediatric patients with ulcerative colitis,Designated/Approved,,,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,2/24/21,2/24/28,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,"AbbVie, Inc.",1 North Waukegan Rd,Dept PA72; Bldg AP30-4,North Chicago,Illinois,60064 ',United States,340911,For moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.
adalimumab,HUMIRA,5/13/15,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,,Treatment of moderate to severe hidradenitis suppurativa,9/9/15,9/9/22,Treatment of moderate to severe hidradenitis suppurativa,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064 ',United States,446414,For moderate to severe hidradenitis suppurativa
"ADAMTS13, recombinant-krhn",Adzynma,7/29/08,"Treatment of thrombotic thrombocytopenic purpura including its congenital, acquired idiopathic, and secondary forms",Designated/Approved,,,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),11/9/23,11/9/30,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,262208,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP)
afamelanotide,SCENESSE,7/17/08,Treatment of erythropoietic porphyrias,Designated/Approved,,,SCENESSE is indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP),10/8/19,10/8/26,Indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP).,Clinuvel Inc.,P. O. Box 94026,,Menlo Park,California,94026 ',United States,263208,SCENESSE is indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP)
afamitresgene autoleucel,Tecelra,8/26/19,Treatment of Soft Tissue Sarcoma,Designated/Approved,,,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices",8/1/24,8/1/31,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A*02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices","Adaptimmune, LLC",351 Rouse Blvd.,,Philadelphia,Pennsylvania,19112 ',United States,666018,"For adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices"
afatinib,Gilotrif,8/3/15,Treatment of non-small cell lung cancer with squamous histology.,Designated/Approved,,,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy",4/15/16,4/15/23,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy","Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,06877 ',United States,484115,"For patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy"
afatinib,Gilotrif,12/3/12,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,7/12/13,7/12/20,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,06877 ',United States,375712,First-line For patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.
afatinib,Gilotrif,12/3/12,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test.,1/12/18,1/12/25,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations other than exon 19 deletions or exon 21 (L858R) substiution mutationas as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,06877 ',United States,375712,GILOTRIF is For the first-line For patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test.
aflibercept,Eylea,7/23/19,Treatment of Retinopathy of Prematurity,Designated/Approved,,,treatment of retinopathy of prematurity (ROP),2/8/23,2/8/30,treatment of retinopathy of prematurity (ROP),"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591 ',United States,694319,For retinopathy of prematurity (ROP)
agalsidase beta,Fabrazyme,1/19/88,Treatment of Fabry's disease.,Designated/Approved,,,treatment of adult and pediatric patients 2 years of age and older with confirmed Fabry disease,3/11/21,3/11/28,treatment of pediatric patients 2 years of age up to patients 8 years of age with confirmed Fabry disease,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,02139 ',United States,15286,For adult and pediatric patients 2 years of age and older with confirmed Fabry disease
agalsidase beta,Fabrazyme,1/19/88,Treatment of Fabry's disease.,Designated/Approved,,,For use in patients with Fabry disease to reduce globotriaosylceramide (GL-3) deposition in capillary endothelium of the kidney and certain other cell types,4/24/03,4/24/10,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,02139 ',United States,15286,For use in patients with Fabry disease to reduce globotriaosylceramide (GL-3) deposition in capillary endothelium of the kidney and certain other cell types
Albendazole,Albenza,1/18/96,"Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocysticercosis.",Designated/Approved,,,"Treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium.",6/11/96,6/11/03,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,08807 ',United States,94295,"For parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium."
Albendazole,Albenza,1/17/96,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,Designated/Approved,,,"Treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, Echinococcus granulosus.",6/11/96,6/11/03,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,08807 ',United States,94195,"For cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, Echinococcus granulosus."
Aldesleukin,Proleukin,9/14/88,Treatment of metastatic renal cell carcinoma.,Designated/Approved,,,Treatment of adults (>18 years old) with metastatic renal cell carcinoma.,5/5/92,5/5/99,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608 ',United States,29088,For adults (>18 years old) with metastatic renal cell carcinoma.
Aldesleukin,Proleukin,9/10/96,Treatment of metastatic melanoma.,Designated/Approved,,,Treatment of adults with metastatic melanoma.,1/9/98,1/9/05,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608 ',United States,100696,For adults with metastatic melanoma.
alectinib,Alecensa,1/27/15,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test",4/18/24,4/18/31,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,94080 ',United States,462814,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test"
alectinib,Alecensa,1/27/15,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.",11/6/17,11/6/24,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small-cell lung cancer (NSCLC) as detected by an FDA-approved test, excluding patients who have progressed on or are intolerant to crizotinib.","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,94080 ',United States,462814,"ALECENSA is For patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test."
alectinib,Alecensa,1/27/15,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib.",12/11/15,12/11/22,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), who have progressed on or are intolerant to crizotinib","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,94080 ',United States,462814,"ALECENSA is For patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib."
alemtuzumab,Campath,10/20/97,Treatment of chronic lymphocytic leukemia.,Designated/Approved,,,The treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy.,5/7/01,5/7/08,,Genzyme Corporation,4545 Horizon Hill Blvd.,,San Antonio,Texas,78229 ',United States,107197,The For patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy.
Alglucerase injection,Ceredase,3/11/85,For replacement therapy in patients with Gaucher's disease type I.,Designated/Approved,,,"Long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a) moderate-to-severe anemia; b) thrombocytopenia with bleeding tendency; c) bone disease; d) significant hepatomegaly or splenomegaly.",4/5/91,4/5/98,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,02139 ',United States,5585,"Long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a) moderate-to-severe anemia; b) thrombocytopenia with bleeding tendency; c) bone disease; d) significant hepatomegaly or splenomegaly."
alirocumab,Praluent,6/15/17,Treatment of homozygous familial hypercholesterolemia,Designated/Approved,,,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,4/1/21,4/1/28,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591 ',United States,580617,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C
Alitretinoin,Panretin,3/24/98,Treatment of AIDS-related Kaposi's sarcoma.,Designated/Approved,,,Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.,2/2/99,2/2/06,,Advanz Pharma (US) Corp.,"2801 Lakeside Drive, Ste 210, Office 7",,Bannockburn,Illinois,60015 ',United States,110998,Topical For cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.
allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen-dsat,StrataGraft,5/21/12,Treatment of hospitalized patients with complex skin defects resulting from partial and full thickness skin burns requiring excision and grafting,Designated/Approved,,,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),6/15/21,6/15/28,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),"Stratatech Corporation, a Mallinckrodt company",440 Route 22 East,,Bridgewater,New Jersey,08807 ',United States,365312,For adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns)
allogeneic processed thymus tissue-agdc,Rethymic,8/15/03,Treatment of congenital athymia,Designated/Approved,,,immune reconstitution in pediatric patients with congenital athymia,10/8/21,10/8/28,immune reconstitution in pediatric patients with congenital athymia,Enzyvant Therapeutics GmbH,Viaduktstrasse 8,CH-4051,Basel,,',Switzerland,172603,immune reconstitution in pediatric patients with congenital athymia
Allopurinol sodium,Aloprim for Injection,10/16/92,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",Designated/Approved,,,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",5/17/96,5/17/03,,"Catalytica Pharmaceuticals, Inc",PO Box 1887,,Greenville,North Carolina,27835 ',United States,68392,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy."
alpelisib,Vijoice,11/18/19,Treatment of PIK3CA-related overgrowth spectrum,Designated/Approved,,,Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,4/5/22,4/5/29,Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,07936 ',United States,710819,For adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy
